unique_id	parent_id	path	description	keywords
150		Attractions	Content primarily about Attractions, including news, information, guides, reviews, products, services, and trends related to attractions and attraction.	attractions, attraction
151	150	Attractions > Amusement and Theme Parks	Content about Amusement and Theme Parks within Attractions, covering topics such as attractions, attraction, amusement, theme, parks, and park, along with relevant news, advice, products, services, and trends.	attractions, attraction, amusement, theme, parks, park
179	150	Attractions > Bars & Restaurants	Content about Bars & Restaurants within Attractions, covering topics such as dining, food service, meals, attractions, attraction, and bars, along with relevant news, advice, products, services, and trends.	dining, food service, meals, attractions, attraction, bars, restaurants, restaurant
181	150	Attractions > Casinos & Gambling	Content about Casinos & Gambling within Attractions, covering topics such as attractions, attraction, casinos, casino, and gambling, along with relevant news, advice, products, services, and trends.	attractions, attraction, casinos, casino, gambling
153	150	Attractions > Historic Site and Landmark Tours	Content about Historic Site and Landmark Tours within Attractions, covering topics such as attractions, attraction, historic, site, landmark, and tours, along with relevant news, advice, products, services, and trends.	attractions, attraction, historic, site, landmark, tours, tour
154	150	Attractions > Malls & Shopping Centers	Content about Malls & Shopping Centers within Attractions, covering topics such as attractions, attraction, malls, mall, shopping, and centers, along with relevant news, advice, products, services, and trends.	attractions, attraction, malls, mall, shopping, centers, center
155	150	Attractions > Museums & Galleries	Content about Museums & Galleries within Attractions, covering topics such as attractions, attraction, museums, museum, galleries, and gallerie, along with relevant news, advice, products, services, and trends.	attractions, attraction, museums, museum, galleries, gallerie
158	150	Attractions > Nightclubs	Content about Nightclubs within Attractions, covering topics such as attractions, attraction, nightclubs, and nightclub, along with relevant news, advice, products, services, and trends.	attractions, attraction, nightclubs, nightclub
159	150	Attractions > Outdoor Activities	Content about Outdoor Activities within Attractions, covering topics such as attractions, attraction, outdoor, activities, and activitie, along with relevant news, advice, products, services, and trends.	attractions, attraction, outdoor, activities, activitie
160	150	Attractions > Parks & Nature	Content about Parks & Nature within Attractions, covering topics such as attractions, attraction, parks, park, and nature, along with relevant news, advice, products, services, and trends.	attractions, attraction, parks, park, nature
177	150	Attractions > Theater Venues	Content about Theater Venues within Attractions, covering topics such as attractions, attraction, theater, venues, and venue, along with relevant news, advice, products, services, and trends.	attractions, attraction, theater, venues, venue
