Unique ID	Parent	Tier 1	Tier 2	Tier 3	Tier 4	Path	Description	Keywords	Negative Keywords
150		Attractions				Attractions	Content relating to places and venues people visit for leisure or tourism: tourist destinations, things to see and do, points of interest, visitor attractions, travel sights, landmarks, and general attraction-related keywords. Use for content about physical visitor destinations and leisure venues, including tickets, opening hours, itineraries, local recommendations, venue reviews, and trip-planning intent. Relevant pages may include venue pages, destination guides, admission details, maps, local tips, accessibility information, family planning help, and visitor reviews. Avoid classifying content here when it is primarily about online shopping, software downloads, stock investing, medical treatment, automotive, books and literature.	attractions, tourist destinations, things to see and do, points of interest, visitor attractions, travel sights, landmarks	online shopping, software downloads, stock investing, medical treatment, automotive, books and literature, business and finance, careers, communication, crime, disasters, education
151	150	Attractions	Amusement and Theme Parks			Attractions > Amusement and Theme Parks	Content relating to theme parks and amusement parks: roller coasters, thrill rides, water parks, family entertainment parks, theme park tickets, Disney parks, Universal Studios, Six Flags, carnival rides, funfair, and similar keywords. Use for content about physical visitor destinations and leisure venues, including tickets, opening hours, itineraries, local recommendations, venue reviews, and trip-planning intent. Relevant pages may include venue pages, destination guides, admission details, maps, local tips, accessibility information, family planning help, and visitor reviews. Avoid classifying content here when it is primarily about bars & restaurants, casinos & gambling, historic site and landmark tours, malls & shopping centers, museums & galleries, nightclubs.	amusement and theme parks, amusement, theme parks, attractions, roller coasters, thrill rides, water parks, family entertainment parks, theme park tickets, disney parks, universal studios, six flags, carnival rides, funfair	bars & restaurants, casinos & gambling, historic site and landmark tours, malls & shopping centers, museums & galleries, nightclubs, outdoor activities, parks & nature, theater venues, zoos & aquariums, online shopping, software downloads, stock investing, medical treatment
179	150	Attractions	Bars & Restaurants			Attractions > Bars & Restaurants	Content relating to bars and restaurants as visitor destinations: dining venues, nightlife dining, pub, tavern, eatery, food and drink establishments at tourist or attraction areas, restaurant reviews at destinations. Use for content about physical visitor destinations and leisure venues, including tickets, opening hours, itineraries, local recommendations, venue reviews, and trip-planning intent. Relevant pages may include venue pages, destination guides, admission details, maps, local tips, accessibility information, family planning help, and visitor reviews. Avoid classifying content here when it is primarily about amusement and theme parks, casinos & gambling, historic site and landmark tours, malls & shopping centers, museums & galleries, nightclubs.	bars and restaurants, bars, restaurants, attractions, dining venues, nightlife dining, pub, tavern, eatery, food and drink establishments at tourist or attraction areas, restaurant reviews at destinations	amusement and theme parks, casinos & gambling, historic site and landmark tours, malls & shopping centers, museums & galleries, nightclubs, outdoor activities, parks & nature, theater venues, zoos & aquariums, online shopping, software downloads, stock investing, medical treatment
181	150	Attractions	Casinos & Gambling			Attractions > Casinos & Gambling	Content relating to physical casino and gambling venues: casinos, slot machines, table games, poker rooms, betting floors, resort casinos, Las Vegas, Macau, and land-based gambling establishment keywords. Use for content about physical visitor destinations and leisure venues, including tickets, opening hours, itineraries, local recommendations, venue reviews, and trip-planning intent. Relevant pages may include venue pages, destination guides, admission details, maps, local tips, accessibility information, family planning help, and visitor reviews. Avoid classifying content here when it is primarily about amusement and theme parks, bars & restaurants, historic site and landmark tours, malls & shopping centers, museums & galleries, nightclubs.	casinos and gambling, casinos, gambling, attractions, slot machines, table games, poker rooms, betting floors, resort casinos, las vegas, macau, and land-based gambling establishment keywords	amusement and theme parks, bars & restaurants, historic site and landmark tours, malls & shopping centers, museums & galleries, nightclubs, outdoor activities, parks & nature, theater venues, zoos & aquariums, online shopping, software downloads, stock investing, medical treatment
153	150	Attractions	Historic Site and Landmark Tours			Attractions > Historic Site and Landmark Tours	Content relating to historic sites and landmark tours: heritage sites, monuments, historic tours, cultural history, guided tours of landmarks, UNESCO sites, castles, ruins, and historical place keywords. Use for content about physical visitor destinations and leisure venues, including tickets, opening hours, itineraries, local recommendations, venue reviews, and trip-planning intent. Relevant pages may include venue pages, destination guides, admission details, maps, local tips, accessibility information, family planning help, and visitor reviews. Avoid classifying content here when it is primarily about amusement and theme parks, bars & restaurants, casinos & gambling, malls & shopping centers, museums & galleries, nightclubs.	historic site and landmark tours, historic site, landmark tours, attractions, heritage sites, monuments, historic tours, cultural history, guided tours of landmarks, unesco sites, castles, ruins, and historical place keywords	amusement and theme parks, bars & restaurants, casinos & gambling, malls & shopping centers, museums & galleries, nightclubs, outdoor activities, parks & nature, theater venues, zoos & aquariums, online shopping, software downloads, stock investing, medical treatment
154	150	Attractions	Malls & Shopping Centers			Attractions > Malls & Shopping Centers	Content relating to malls and shopping centers as attractions: shopping malls, retail centers, outlet malls, shopping destinations, mall directory, department stores, shopping complex, and retail-as-destination keywords. Use for content about physical visitor destinations and leisure venues, including tickets, opening hours, itineraries, local recommendations, venue reviews, and trip-planning intent. Relevant pages may include venue pages, destination guides, admission details, maps, local tips, accessibility information, family planning help, and visitor reviews. Avoid classifying content here when it is primarily about amusement and theme parks, bars & restaurants, casinos & gambling, historic site and landmark tours, museums & galleries, nightclubs.	malls and shopping centers, malls, shopping centers, attractions, shopping malls, retail centers, outlet malls, shopping destinations, mall directory, department stores, shopping complex, and retail-as-destination keywords	amusement and theme parks, bars & restaurants, casinos & gambling, historic site and landmark tours, museums & galleries, nightclubs, outdoor activities, parks & nature, theater venues, zoos & aquariums, online shopping, software downloads, stock investing, medical treatment
155	150	Attractions	Museums & Galleries			Attractions > Museums & Galleries	Content relating to museums and galleries: art museums, exhibitions, galleries, cultural collections, natural history museum, science museum, museum tickets, artwork display, and museum-related keywords. Use for content about physical visitor destinations and leisure venues, including tickets, opening hours, itineraries, local recommendations, venue reviews, and trip-planning intent. Relevant pages may include venue pages, destination guides, admission details, maps, local tips, accessibility information, family planning help, and visitor reviews. Avoid classifying content here when it is primarily about amusement and theme parks, bars & restaurants, casinos & gambling, historic site and landmark tours, malls & shopping centers, nightclubs.	museums and galleries, museums, galleries, attractions, art museums, exhibitions, cultural collections, natural history museum, science museum, museum tickets, artwork display, and museum-related keywords	amusement and theme parks, bars & restaurants, casinos & gambling, historic site and landmark tours, malls & shopping centers, nightclubs, outdoor activities, parks & nature, theater venues, zoos & aquariums, online shopping, software downloads, stock investing, medical treatment
158	150	Attractions	Nightclubs			Attractions > Nightclubs	Content relating to nightclubs and club venues: nightclubs, dance clubs, DJ venues, nightlife, club nights, dance floor, VIP tables, club events, and nightclub-related keywords. Use for content about physical visitor destinations and leisure venues, including tickets, opening hours, itineraries, local recommendations, venue reviews, and trip-planning intent. Relevant pages may include venue pages, destination guides, admission details, maps, local tips, accessibility information, family planning help, and visitor reviews. Avoid classifying content here when it is primarily about amusement and theme parks, bars & restaurants, casinos & gambling, historic site and landmark tours, malls & shopping centers, museums & galleries.	nightclubs, attractions, dance clubs, dj venues, nightlife, club nights, dance floor, vip tables, club events, and nightclub-related keywords	amusement and theme parks, bars & restaurants, casinos & gambling, historic site and landmark tours, malls & shopping centers, museums & galleries, outdoor activities, parks & nature, theater venues, zoos & aquariums, online shopping, software downloads, stock investing, medical treatment
159	150	Attractions	Outdoor Activities			Attractions > Outdoor Activities	Content relating to outdoor activities as attractions: outdoor adventure, hiking trails, zip lines, outdoor recreation venues, adventure parks, outdoor experiences, nature activities at attractions, and similar keywords. Use for content about physical visitor destinations and leisure venues, including tickets, opening hours, itineraries, local recommendations, venue reviews, and trip-planning intent. Relevant pages may include venue pages, destination guides, admission details, maps, local tips, accessibility information, family planning help, and visitor reviews. Avoid classifying content here when it is primarily about amusement and theme parks, bars & restaurants, casinos & gambling, historic site and landmark tours, malls & shopping centers, museums & galleries.	outdoor activities, attractions, outdoor adventure, hiking trails, zip lines, outdoor recreation venues, adventure parks, outdoor experiences, nature activities at attractions	amusement and theme parks, bars & restaurants, casinos & gambling, historic site and landmark tours, malls & shopping centers, museums & galleries, nightclubs, parks & nature, theater venues, zoos & aquariums, online shopping, software downloads, stock investing, medical treatment
160	150	Attractions	Parks & Nature			Attractions > Parks & Nature	Content relating to parks and nature as attractions: national parks, nature reserves, botanical gardens, city parks, wildlife parks, nature trails, green spaces, gardens, and park or nature-attraction keywords. Use for content about physical visitor destinations and leisure venues, including tickets, opening hours, itineraries, local recommendations, venue reviews, and trip-planning intent. Relevant pages may include venue pages, destination guides, admission details, maps, local tips, accessibility information, family planning help, and visitor reviews. Avoid classifying content here when it is primarily about amusement and theme parks, bars & restaurants, casinos & gambling, historic site and landmark tours, malls & shopping centers, museums & galleries.	parks and nature, parks, nature, attractions, national parks, nature reserves, botanical gardens, city parks, wildlife parks, nature trails, green spaces, gardens, and park or nature-attraction keywords	amusement and theme parks, bars & restaurants, casinos & gambling, historic site and landmark tours, malls & shopping centers, museums & galleries, nightclubs, outdoor activities, theater venues, zoos & aquariums, online shopping, software downloads, stock investing, medical treatment
